Community Name,"Holds degree or higher, %","Equivalent household income <$600/week, %",,,Locality,2013
Endeavour Hills (Suburb),38.04842963,39.18213457,,,HOPETOUN,88000
Enfield (Town),28.16901408,51.58730159,,,HOPPERS CROSSING,321500
Epping (Catchment),35.24904215,31.69811321,,,HORSHAM,215000
Epping (Suburb),35.41955836,38.6179402,,,HUGHESDALE,820000
Epsom (Suburb),30.23504274,34.97652582,,,HUNTINGDALE,659000
Essendon (Catchment),55.30629853,25.64383562,,,HUNTLY,337500
Essendon North (Suburb),49.66442953,32.45192308,,,HURSTBRIDGE,482000
Essendon (Suburb),58.57538869,27.02200186,,,INDENTED HEAD,390000
Essendon West (Suburb),52.92035398,33.04347826,,,INGLEWOOD,160000
Eumemmerring (Suburb),20.04662005,58.59766277,,,INVERLOCH,431000
Eureka (Suburb),38.81278539,31.91489362,,,INVERMAY PARK,378000
Euroa (Catchment),30.52450559,49.59785523,,,IRONBARK,277000
Euroa (Town),23,58.97196262,,,IRYMPLE,248000
Fairfield (Suburb),68.02987198,29.65357968,,,IVANHOE,1090000
Falls Creek (Town),34.23423423,,,,IVANHOE EAST,1310000
Fawkner (Suburb),41.77693762,58.93234672,,,JACANA,334000
Ferntree Gully (Catchment),36.49851632,17.18061674,,,JACKASS FLAT,287500
Ferntree Gully (Suburb),31.13456464,36.01879037,,,JAMIESON,205000
Ferny Creek (Suburb),49.03314917,27.01030928,,,JAN JUC,555000
Fish Creek (Town),20.28985507,65.67164179,,,JEERALANG NORTH,145500
Fitzroy North (Catchment),79.91631799,16.03053435,,,JEPARIT,80500
Fitzroy North (Suburb),77.3383553,27.67281106,,,JOLIMONT,2625000
Fitzroy (Suburb),74.96318115,32.34772324,,,JUNCTION VILLAGE,312000
Flemington (Suburb),67.5922901,43.62637363,,,JUNORTOUN,490000
Flinders (Town),51.05633803,27.31958763,,,KALIMNA,230000
Flora Hill (Suburb),40.9510291,50.23291925,,,KALKALLO,450000
Footscray (Suburb),63.56215213,44.31767338,,,KALLISTA,425000
Forest Hill (Suburb),53.808948,41.87289089,,,KALORAMA,442500
Foster (Catchment),31.67173252,51.64698571,,,KANGAROO FLAT,292500
Foster (Town),29.38005391,60.99773243,,,KANGAROO GROUND SOUTH,615000
Framlingham (Town),,100,,,KANIVA,75000
Frankston North (Suburb),14.87669053,60.46145779,,,KATUNGA,229000
Frankston South (Suburb),38.06183796,34.01733593,,,KEALBA,370000
Frankston (Suburb),27.91161322,45.95872066,,,KEILOR,572500
Gardenvale (Suburb),69.2,27.25,,,KEILOR DOWNS,403500
Garfield (Town),22.3495702,47.12643678,,,KEILOR EAST,560000
Geelong (Catchment),47.42990654,32.18390805,,,KEILOR LODGE,490000
Geelong (Suburb),51.82242991,31.87319885,,,KEILOR PARK,455000
Geelong West (Catchment),43.85176867,39.25792938,,,KENNINGTON,351500
Geelong West (Suburb),48.48380427,38.62940276,,,KENSINGTON,690000
Gembrook (Town),27.90697674,39.22261484,,,KERANG,152000
Girgarre (Town),,60.60606061,,,KEW,1751000
Gisborne (Catchment),39.22315308,23.36448598,,,KEW EAST,1210000
Gisborne (Town),38.85696041,28.83333333,,,KEW NORTH,1260000
Gladstone Park (Catchment),18.51851852,36,,,KEYSBOROUGH,435000
Gladstone Park (Suburb),30.12946253,42.27733935,,,KIALLA,360000
Glen Huntly (Catchment),63.16964286,34.04255319,,,KILCUNDA,375000
Glen Huntly (Suburb),68.25332795,34.80392157,,,KILLARA (WODONGA),351000
Glen Iris (Suburb),71.52217339,20.72646951,,,KILMORE,327500
Glen Waverley (Suburb),61.90559035,36.69862443,,,KILSYTH,435000
Glengarry (Town),19.38325991,28.27225131,,,KILSYTH SOUTH,542500
Glenrowan North (Town),41.33333333,40.4040404,,,KINGLAKE,330000
Glenrowan (Town),19.62616822,50.47619048,,,KINGS PARK,315000
Glenroy (Catchment),28.07017544,57.56097561,,,KINGSBURY,470000
Glenroy (Suburb),41.77558988,50.96908538,,,KINGSVILLE,635000
Golden Beach - Paradise Beach (Town),11.76470588,80.55555556,,,KNOXFIELD,500000
Golden Gully (Suburb),15.38461538,40.74074074,,,KOO WEE RUP,315000
Golden Point (Suburb),40.5904059,49.93954051,,,KOONDROOK,147500
Golden Square (Catchment),31.61716172,32.97697368,,,KOROIT,275000
Golden Square (Suburb),29.95239839,47.54208754,,,KORUMBURRA,236000
Goornong (Town),19.75308642,40.65934066,,,KURUNJANG,287000
Gordon (Town),21.70542636,44.85294118,,,KYABRAM,237000
Goroke (Town),32.69230769,66.31578947,,,KYNETON,369000
Gowanbrae (Suburb),42.578125,28.24074074,,,LAKE BOGA,200000
Grantville (Town),23.02158273,67.14975845,,,LAKE BUNGA,197500
Great Western (Town),22.22222222,50.70422535,,,LAKE GARDENS,445000
Greendale (Town),27.77777778,42.42424242,,,LAKE TYERS BEACH,270000
Greensborough (Catchment),41.79396788,22.1930745,,,LAKE WENDOUREE,634000
Greensborough (Suburb),44.20745921,29.26792224,,,LAKES ENTRANCE,269500
Greenvale (Catchment),34.69387755,26.92307692,,,LALOR,365000
Greenvale (Suburb),34.23603193,31.24354116,,,LANCEFIELD,377500
Grovedale (Catchment),35.32041729,29.99446597,,,LANG LANG,285000
Grovedale (Suburb),29.87063897,40.8644811,,,LANGWARRIN,385000
Guildford (Town),32.94117647,56.75675676,,,LARA,350000
Gunbower (Town),,68.93203883,,,LARA LAKE,363000
Hadfield (Suburb),33.64620939,52.24395857,,,LAUNCHING PLACE,330000
Hallam (Catchment),28.82011605,41.78947368,,,LAVERTON,325000
Hallam (Suburb),33.12541037,44.52935047,,,LAVERTON SOUTH,391500
Halls Gap (Town),33.05084746,50,,,LENEVA,361500
Hamilton (Catchment),30.21694215,45.58823529,,,LEONGATHA,300000
Hamilton (Town),30.61433447,48.47099171,,,LEOPOLD,360000
Hamlyn Heights (Catchment),32.98633702,43.0840503,,,LILYDALE,469000
Hamlyn Heights (Suburb),33.25526932,42.93502953,,,LINDENOW,200000
Hampton East (Suburb),55.61029009,39.86275733,,,LISMORE,110000
Hampton Park (Suburb),28.6884003,45.38568558,,,LOCH SPORT,166000
Hampton (Suburb),64.33272395,24.70191809,,,LONG GULLY,230000
Harcourt (Town),24.70588235,53.02013423,,,LONGWARRY,289500
Harkaway (Suburb),36.25,19.04761905,,,LORNE,840000
Harrietville (Town),31.95876289,46.37681159,,,LOVELY BANKS,360500
Hastings (Catchment),24.23335826,38.14159292,,,LOWER PLENTY,680500
Hastings (Suburb),14.86428264,55.33447684,,,LUCAS,348000
Hawthorn East (Suburb),73.68123321,22.6349137,,,LUCKNOW,235000
Hawthorn (Suburb),75.70425514,24.21855146,,,LYNBROOK,430000
Hazeldene (Town),17.91044776,56,,,LYNDHURST,465000
Hazelwood North (Town),31.2,29.62962963,,,LYSTERFIELD,681500
Healesville (Catchment),35.97835888,40.4494382,,,LYSTERFIELD SOUTH,931500
Healesville (Town),28.43319687,48.03525523,,,MACEDON,490000
Heathcote (Catchment),24.63002114,58.63821138,,,MACLEOD,647500
Heathcote (Town),15.96009975,67.11509716,,,MADDINGLEY,316500
Heatherton (Suburb),50.33301618,27.08058124,,,MAFFRA,229000
Heathmont (Suburb),45.21025131,29.98368679,,,MAIDEN GULLY,440000
Heidelberg Heights (Catchment),57.6,44.73684211,,,MAIDSTONE,535000
Heidelberg Heights (Suburb),55.88235294,40.60980999,,,MALDON,315000
Heidelberg (Suburb),65.41651641,28.10862315,,,MALLACOOTA,285000
Heidelberg West (Catchment),45.22727273,48.14814815,,,MALMSBURY,292500
Heidelberg West (Suburb),45.437382,61.5819209,,,MALVERN,1508500
Herne Hill (Suburb),31.41233766,44.60059172,,,MALVERN EAST,1200000
Heyfield (Catchment),26.448737,45.00745156,,,MAMBOURIN,-
Heyfield (Town),15.18624642,62.21374046,,,MANIFOLD HEIGHTS,532500
Heywood (Catchment),18.26086957,47.48538012,,,MANOR LAKES,340500
Heywood (Town),11.27272727,59.59183673,,,MANSFIELD,364000
Highett (Suburb),52.01129146,32.90358744,,,MARIBYRNONG,714000
Highton (Catchment),50,26.04588394,,,MARLO,295000
Highton (Suburb),47.06128134,32.39259392,,,MARONG,310000
Hillside (Catchment),16.66666667,45.40229885,,,MARSHALL,360000
Hillside (Suburb),34.33095192,30.06976744,,,MARYBOROUGH,194000
Hmas Cerberus (Suburb),12.93800539,12.65822785,,,MARYSVILLE,180000
Hopetoun (Catchment),19.20529801,60.99773243,,,MCCRAE,530000
Hopetoun Park (Town),27.04081633,21.19205298,,,MCKENZIE HILL,397000
Hopetoun (Town),30,50.73891626,,,MCKINNON,1025000
Hoppers Crossing (Catchment),48.76447876,32.02489229,,,MEADOW HEIGHTS,317000
Hoppers Crossing (Suburb),35.03452922,37.31438462,,,MELTON,245000
Horsham (Catchment),32.81919452,43.24082363,,,MELTON SOUTH,230000
Horsham (Town),28.40932969,46.92307692,,,MELTON WEST,285500
Hughesdale (Suburb),61.15702479,36.74067868,,,MENTONE,705000
Huntingdale (Suburb),59.32432432,36.49754501,,,MENZIES CREEK,515000
Huntly (Suburb),19.20903955,42.52873563,,,MERBEIN,140500
Hurstbridge (Catchment),42.14647628,26.34216178,,,MERINDA PARK,310000
Hurstbridge (Suburb),39.41368078,29.63855422,,,MERNDA,375000
Indented Head (Town),31.51862464,53.97260274,,,MERRIGUM,160500
Inglewood (Catchment),24.41520468,68.11740891,,,METUNG,337500
Inglewood (Town),14.28571429,68.13186813,,,MICKLEHAM,213000
Inverleigh (Town),25.35714286,47.93814433,,,MIDDLE PARK,1587500
Inverloch (Catchment),25.47368421,62.05357143,,,MILDURA,225500
Inverloch (Town),36.28013777,45.12345679,,,MILL PARK,408000
Invermay Park (Suburb),30.79315708,28.71621622,,,MILLGROVE,245000
Ironbark (Suburb),37.59398496,47.10144928,,,MINERS REST,330000
Ivanhoe East (Suburb),70.98189797,20.26431718,,,MINYIP,73500
Ivanhoe (Suburb),69.6541181,26.67015981,,,MIRBOO NORTH,265000
Jacana (Suburb),29.7188755,56.93548387,,,MITCHAM,650000
Jackass Flat (Suburb),29.67032967,42.26804124,,,MITCHELL PARK,267000
Jeparit (Town),25.42372881,81.95488722,,,MOE,155000
Junction Village (Suburb),15.51155116,54.83870968,,,MONBULK,395000
Junortoun (Suburb),42.63959391,22.50922509,,,MONT ALBERT,1316000
Kallista (Suburb),48.60724234,31.13402062,,,MONT ALBERT NORTH,995000
Kalorama (Suburb),46.86971235,26.31578947,,,MONTMORENCY,570000
Kangaroo Flat (Catchment),32.78350515,40.64837905,,,MONTROSE,445000
Kangaroo Flat (Suburb),23.02538787,49.67948718,,,MOONEE PONDS,830500
Kaniva (Town),25.47169811,60.6557377,,,MOORABBIN,682000
Katamatite (Town),15.78947368,54.87804878,,,MOOROOLBARK,440000
Katandra West (Town),22.05882353,40,,,MOOROOPNA,207500
Kealba (Suburb),36.03864734,40.08574491,,,MORDIALLOC,680000
Keilor (Catchment),39.26380368,46.09929078,,,MORNINGTON,525000
Keilor Downs (Catchment),35.27054108,39.56521739,,,MORTLAKE,129500
Keilor Downs (Suburb),34.00849396,42.07086343,,,MORWELL,160000
Keilor East (Catchment),29.82673267,44.98834499,,,MOUNT BEAUTY,180000
Keilor East (Suburb),39.95469989,40.30732861,,,MOUNT CLEAR,286000
Keilor Lodge (Suburb),40.79861111,29.43722944,,,MOUNT COTTRELL,-
Keilor North (Suburb),29.16666667,40,,,MOUNT DANDENONG,450000
Keilor Park (Suburb),29.82673267,44.98834499,,,MOUNT DUNEED,286000
Keilor (Suburb),41.07485605,29.39169983,,,MOUNT ELIZA,750000
Kennington (Catchment),42.16081366,39.63386728,,,MOUNT EVELYN,406000
Kennington (Suburb),44.22535211,42.52005663,,,MOUNT HELEN,344000
Kensington (Suburb),72.77103794,26.42541005,,,MOUNT MACEDON,662500
Kerang (Catchment),22.5,62.28373702,,,MOUNT MARTHA,730000
Kerang (Town),24.36489607,62.58660508,,,MOUNT PLEASANT,276500
Kew East (Suburb),70.18040325,25.74724698,,,MOUNT WAVERLEY,820000
Kew (Suburb),73.73576691,20.08780098,,,MULGRAVE,577500
Keysborough (Catchment),59.32721713,18.34862385,,,MURCHISON,186000
Keysborough (Suburb),39.66540745,43.00441826,,,MURRUMBEENA,870000
Kialla West (Town),29.23076923,35.18518519,,,MURTOA,95000
Kiewa (Town),31.72413793,25.25252525,,,MYRTLEFORD,220000
Kilcunda (Town),36.22047244,33.92857143,,,NAGAMBIE,312500
Kilmore (Catchment),28.68965517,39.6875,,,NARRE WARREN,370000
Kilmore (Town),27.66295707,41.63528779,,,NARRE WARREN NORTH,680000
Kilsyth (Catchment),26.69856459,24.78839178,,,NARRE WARREN SOUTH,410000
Kilsyth South (Suburb),26.69856459,24.78839178,,,NATHALIA,165000
Kilsyth (Suburb),24.46720177,40.83694084,,,NEERIM SOUTH,340000
Kinglake (Town),22.89473684,38.31168831,,,NERRINA,455000
Kinglake West (Town),24.26035503,35.42600897,,,NEW GISBORNE,500000
Kings Park (Suburb),30.58618688,56.97980685,,,NEWBOROUGH,213000
Kingsbury (Suburb),58.37755876,54.78489903,,,NEWCOMB,280000
Kingsville (Suburb),60.84690554,31.87869822,,,NEWINGTON,320000
Knoxfield (Suburb),38.69704521,34.44350759,,,NEWLANDS ARM,320000
Koo Wee Rup (Catchment),17.30013106,39.11483254,,,NEWPORT,695000
Koo Wee Rup (Town),13.9261745,44.33285509,,,NEWSTEAD,300000
Koondrook (Catchment),18.03278689,57.19178082,,,NEWTOWN (GREATER,570000
Koondrook (Town),17.98941799,63.33333333,,,NHILL,110000
Kooyong (Suburb),81.33971292,18.00766284,,,NICHOLS POINT,316500
Koroit (Catchment),29.11646586,36.6388309,,,NIDDRIE,700000
Koroit (Town),23.51694915,46.09053498,,,NOBLE PARK,400000
Korumburra (Catchment),28.57142857,44.30188679,,,NOBLE PARK NORTH,383000
Korumburra (Town),22.35897436,55.30864198,,,NORLANE,202500
Kyabram (Catchment),21.22229684,50.50867744,,,NORTH BENDIGO,271000
Kyabram (Town),24.55583756,56.88651794,,,NORTH GEELONG,272500
Kyneton (Catchment),38.60309494,40.07201646,,,NORTH MELBOURNE,802500
Kyneton (Town),34.57408733,49.77721197,,,NORTH WONTHAGGI,230000
Lake Boga (Town),23.52941176,59.12698413,,,NORTHCOTE,820000
Lake Bolac (Town),22.64150943,55.71428571,,,NOTTING HILL,566500
Lake Gardens (Suburb),52.21893491,30.94812165,,,NUMURKAH,195000
Lake Tyers Beach (Town),32.75862069,47.05882353,,,NUNAWADING,637500
Lake Wendouree (Suburb),57.91190865,29.73251029,,,NYAH WEST,94000
Lakes Entrance (Catchment),28.79746835,52.75537634,,,OAK PARK,576500
Lakes Entrance (Town),19.93006993,62.1686747,,,OAKLEIGH,753500
Lalor (Suburb),30.82508251,56.48273527,,,OAKLEIGH EAST,672000
Lancefield (Catchment),37.3540856,31.3253012,,,OAKLEIGH SOUTH,603000
Lancefield (Town),20.54794521,44.18052257,,,OCEAN GROVE,459000
Lang Lang (Catchment),17.45200698,47.63690923,,,OFFICER,346000
Lang Lang (Town),12.64367816,50.58823529,,,OFFICER SOUTH,-
Langwarrin (Catchment),21.92192192,34.50479233,,,OLINDA,496000
Langwarrin South (Suburb),30.54187192,32.33333333,,,OMEO,210000
Langwarrin (Suburb),23.23245849,32.42759033,,,ORBOST,156000
Lara (Catchment),29.07725322,31.8822023,,,ORMOND,997500
Lara (Town),29.60457856,34.34119279,,,OSBORNE,530000
Laverton (Catchment),58.05763074,22.85276074,,,OUYEN,75000
Laverton North (Suburb),,53.33333333,,,PAKENHAM,335000
Laverton (Suburb),38.51080865,52.10280374,,,PARADISE BEACH,163500
Learmonth (Town),32.14285714,56.30252101,,,PARK ORCHARDS,952500
Leitchville (Town),19.56521739,59.79381443,,,PARKDALE,760000
Leongatha (Catchment),30.56835637,45.36,,,PARKVILLE,1200000
Leongatha (Town),27.86683107,47.22381225,,,PASCOE VALE,580000
Leopold (Catchment),24.38271605,53.59477124,,,PASCOE VALE SOUTH,650500
Leopold (Town),25.30427399,37.78062861,,,PATTERSON GARDENS,615000
Lethbridge (Town),18.18181818,38.65030675,,,PATTERSON LAKES,647500
Lilydale (Catchment),18.90694239,34.66666667,,,PAYNESVILLE,283000
Lilydale (Suburb),27.88958148,36.04132901,,,PEARCEDALE,385000
Lindenow (Town),25.68807339,46.92307692,,,PENSHURST,144000
Linton (Town),21.00840336,68.88888889,,,PETERBOROUGH,287500
Lismore (Town),,71.77419355,,,PIONEER BAY,200000
Little River (Town),21.875,26.92307692,,,PLENTY,773000
Loch Sport (Town),14.54545455,82.19178082,,,POINT COOK,450000
Lockington (Town),16.47058824,66.91176471,,,POINT LONSDALE,700000
Long Gully (Catchment),27.49590835,45.59386973,,,POREPUNKAH,347000
Long Gully (Suburb),20.96969697,63.17539485,,,PORT ALBERT,262500
Longwarry (Town),12.5,50,,,PORT FAIRY,400000
Lorne (Catchment),35.25641026,52.5,,,PORT MELBOURNE,995000
Lorne (Town),46.51741294,47.6340694,,,PORTARLINGTON,390000
Lovely Banks (Suburb),24.92917847,40.78624079,,,PORTLAND,235000
Lower Plenty (Suburb),51.05740181,23.4557596,,,PORTLAND NORTH,300000
Lynbrook (Suburb),39.43731491,28.9334119,,,PORTSEA,1195000
Lyndhurst (Suburb),45.74415132,19.17241379,,,PRAHRAN,990000
Lysterfield South (Suburb),36.96969697,25.92592593,,,PRESTON,632500
Lysterfield (Suburb),37.22721438,19.74327628,,,PRINCES HILL,1216500
Macarthur (Town),26.66666667,65.16853933,,,PYRAMID HILL,112500
Macedon (Catchment),45.3038674,33.07086614,,,QUAMBATOOK,134000
Macedon (Town),51.21136174,29.74296206,,,QUARRY HILL,385000
Macleod (Suburb),55.74332599,32.00368211,,,QUEENSCLIFF,630000
Maffra (Catchment),25.23316062,43.70165746,,,RAINBOW,62000
Maffra (Town),22.57564003,52.53077975,,,RAYMOND ISLAND,297500
Magpie (Suburb),38.58267717,35.16483516,,,RED CLIFFS,163000
Maiden Gully (Suburb),29.93145468,24.87100103,,,RED HILL,515000
Maidstone (Suburb),54.93010956,43.64569961,,,REDAN,250000
Maldon (Catchment),31.03448276,54.27872861,,,RESEARCH,605500
Maldon (Town),37.73584906,58.96946565,,,RESERVOIR,510000
Mallacoota (Town),35.4679803,64.76190476,,,RHYLL,393000
Malmsbury (Town),43.10344828,46.52406417,,,RICHMOND,900000
Malvern East (Catchment),70.76023392,52.34375,,,RIDDELLS CREEK,450000
Malvern East (Suburb),68.37615729,27.67527675,,,RINGWOOD,552000
Malvern (Suburb),73.17023026,19.09971866,,,RINGWOOD EAST,547000
Manangatang (Town),39.3442623,58.82352941,,,RINGWOOD NORTH,630500
Manifold Heights (Suburb),47.42173112,37.5273523,,,RIPPLESIDE,575000
Mansfield (Catchment),32.20708447,44.94229464,,,RIPPONLEA,985000
Mansfield (Town),23.57343312,50.54249548,,,ROBINVALE,152500
Marengo (Town),35.64356436,37.33333333,,,ROCHESTER,189500
Maribyrnong (Suburb),58.98141776,29.03225806,,,ROCKBANK,309000
Marlo (Town),41.89944134,43.47826087,,,ROMSEY,387500
Marong (Town),22.12389381,44.44444444,,,ROSANNA,717500
Marshall (Suburb),31.43418468,45.39748954,,,ROSEBUD,367000
Maryborough (Catchment),22.54995243,65.96622889,,,ROSEBUD SOUTH,425000
Maryborough (Town),18.45655693,65.64285714,,,ROSEDALE,215000
Maryknoll (Town),28.43601896,33.10344828,,,ROWVILLE,570000
Marysville (Town),34.06593407,58.53658537,,,ROXBURGH PARK,365000
McCrae (Suburb),30.99297894,38.60045147,,,RUSHWORTH,161000
McKinnon (Suburb),61.24382208,27.51196172,,,RUTHERGLEN,232000
Meadow Heights (Suburb),29.95058913,65.55248619,,,RYE,425500
Meeniyan (Town),19.62025316,54.24836601,,,SAFETY BEACH,515000
Melbourne Airport (Suburb),47.5,43.75,,,SAILORS GULLY,253000
Melbourne (Suburb),76.17361657,35.88663968,,,SALE,290000
Melton (Catchment),28.98664572,29.65517241,,,SAN REMO,410000
Melton (Town),21.95732041,42.19102709,,,SANCTUARY LAKES,480000
Mentone (Suburb),50.01960784,31.49441341,,,SANDHURST,545000
Menzies Creek (Suburb),39.46360153,27.93296089,,,SANDRINGHAM,1210000
Merbein (Catchment),23.84020619,47.07317073,,,SANDY POINT,352500
Merbein (Town),11.69724771,63.83285303,,,SASSAFRAS,632500
Meredith (Town),22.5,48.46153846,,,SCORESBY,509000
Merino (Town),,70.83333333,,,SEA LAKE,80000
Mernda (Suburb),34.07407407,23.23733863,,,SEABROOK,422500
Merrigum (Town),14.14141414,57.53424658,,,SEAFORD,419500
Metung (Town),35.1981352,44.57478006,,,SEAHOLME,640000
Middle Park (Catchment),73.66071429,15.60693642,,,SEASPRAY,152000
Middle Park (Suburb),74.72677596,17.76271186,,,SEBASTOPOL,242000
Milawa (Town),22.82608696,36.58536585,,,SEDDON,675000
Mildura (Catchment),24.25295344,47.31543624,,,SELBY,420000
Mildura (Town),28.91608392,53.1504065,,,SEVILLE,400000
Mill Park (Suburb),36.66599272,36.59902029,,,SEVILLE EAST,339500
Millgrove (Town),17.71300448,57.98165138,,,SEYMOUR,220000
Miners Rest (Suburb),31.99554069,26.04456825,,,SHEPPARTON,247000
Minyip (Town),21.56862745,76.58227848,,,SHEPPARTON NORTH,346000
Mirboo North (Catchment),28.92018779,47.05882353,,,SHOREHAM,607000
Mirboo North (Town),30.63492063,50.1953125,,,SILVERLEAVES,508000
Mitcham (Suburb),55.00301386,31.30434783,,,SKIPTON,155000
Mitchell Park (Suburb),24.11764706,42,,,SKYE,395000
Moe - Newborough (Catchment),24.30254185,44.71710975,,,SMITHS BEACH,372500
Moe - Newborough (Town),16.25282167,58.45307788,,,SMYTHES CREEK,-
Monbulk (Catchment),44.98616874,33.17691225,,,SOLDIERS HILL,283000
Monbulk (Suburb),31.30520118,41.93181818,,,SOMERS,657500
Mont Albert North (Suburb),65.17558528,28.53717026,,,SOMERVILLE,385000
Mont Albert (Suburb),70.91194969,24.30254185,,,SORRENTO,770000
Montmorency (Catchment),52.54237288,27.7992278,,,SOUTH GEELONG,420500
Montmorency (Suburb),47.52302713,28.5853342,,,SOUTH KINGSVILLE,619500
Montrose (Catchment),48.75536481,29.3398533,,,SOUTH MELBOURNE,1030000
Montrose (Suburb),31.47169811,33.82352941,,,SOUTH MORANG,415000
Moolap (Suburb),21.76470588,41.7721519,,,SOUTH YARRA,1352500
Moonee Ponds (Suburb),62.87777032,27.67932489,,,SPOTSWOOD,680000
Moorabbin (Catchment),34.42622951,42.42424242,,,SPRING GULLY,345000
Moorabbin (Suburb),50.5726065,35.95567867,,,SPRINGVALE,451500
Mooroolbark (Suburb),30.3931848,33.81102362,,,SPRINGVALE SOUTH,430000
Mordialloc (Suburb),46.50205761,32.66842303,,,ST ALBANS,350000
Moriac (Town),32.43243243,21.46892655,,,ST ALBANS PARK,335000
Mornington (Catchment),35.18518519,31.03448276,,,ST ANDREWS BEACH,480000
Mornington (Suburb),33.24958124,41.88488142,,,ST ARNAUD,140000
Mortlake (Catchment),25.5259467,53.71900826,,,ST HELENA,612500
Mortlake (Town),18.21192053,60.33653846,,,ST KILDA,892000
Morwell (Catchment),23.59693878,32.25806452,,,ST KILDA EAST,1050500
Morwell (Town),18.59527922,59.47895792,,,ST KILDA WEST,1142500
Mount Beauty - Tawonga South (Catchment),29.61460446,48.27586207,,,ST LEONARDS                             ,350000
Mount Beauty - Tawonga South (Town),36.76680973,55.84415584,,,STANHOPE,150000
Mount Buller (Town),45.2173913,,,,STAWELL,162500
Mount Clear (Catchment),44.47797224,33.97260274,,,STRATFORD,230000
Mount Clear (Suburb),43.76731302,40.84084084,,,STRATHDALE,392500
Mount Dandenong (Suburb),50.69686411,32.21957041,,,STRATHFIELDSAYE,377000
Mount Egerton (Town),25.67567568,46.06741573,,,STRATHMERTON,166000
Mount Eliza (Suburb),49.12877757,25.10663048,,,STRATHMORE,827500
Mount Evelyn (Catchment),32.70440252,37.10691824,,,STRATHMORE HEIGHTS,621000
Mount Evelyn (Suburb),26.51428571,32.6971552,,,STRATHTULLOH,350000
Mount Helen (Suburb),44.49021627,30.22222222,,,STUDFIELD,532500
Mount Hotham (Town),26.86567164,,,,SUNBURY,355000
Mount Martha (Catchment),43.39622642,25.82781457,,,SUNDERLAND BAY,324500
Mount Martha (Suburb),37.69219059,31.17841196,,,SUNNYCLIFFS,195000
