Community Name,"Holds degree or higher, %","Equivalent household income <$600/week, %",,,Locality,2013
Mount Pleasant (Suburb),40.39548023,49.59785523,,,SUNSET STRIP,301500
Mount Waverley (Suburb),59.76035604,34.09262048,,,SUNSHINE,435000
Moyhu (Town),,62.5,,,SUNSHINE NORTH,400000
Mulgrave (Suburb),49.13344887,36.75259578,,,SUNSHINE WEST,384500
Murchison (Town),19.36936937,61.97718631,,,SURF BEACH,375000
Murrayville (Town),27.5862069,62.62626263,,,SURREY HILLS,1323000
Murrumbeena (Suburb),65.49329502,30.05344231,,,SWAN HILL,225000
Murtoa (Catchment),24.84076433,54.9689441,,,SYDENHAM,425000
Murtoa (Town),24.74226804,63.15789474,,,SYNDAL,950500
Myrniong (Town),18.75,26.98412698,,,TALLANGATTA,154000
Myrtleford (Catchment),30.91684435,48.13596491,,,TANGAMBALANGA,265000
Myrtleford (Town),20.67620286,62.23564955,,,TARNEIT,371000
Nagambie (Catchment),24.4111349,53.42465753,,,TATURA,230000
Nagambie (Town),20.72289157,52.23367698,,,TAWONGA SOUTH,219500
Nar Nar Goon (Town),15.82733813,38.84892086,,,TAYLORS HILL,487500
Narre Warren (Catchment),32.67909715,24.93036212,,,TAYLORS LAKES,490000
Narre Warren North (Suburb),34.08277976,23.75279226,,,TECOMA,415000
Narre Warren South (Suburb),32.65170775,30.69590086,,,TEMPLESTOWE,865000
Narre Warren (Suburb),28.66421569,38.69117455,,,TEMPLESTOWE LOWER,750000
Nathalia (Catchment),18.72427984,60.16,,,TERANG,161500
Nathalia (Town),23.8961039,59.74729242,,,THE BASIN,430000
Natimuk (Town),45.68965517,62.06896552,,,THE PATCH,393500
Neerim South (Catchment),30.7424594,46.73295455,,,THOMASTOWN,390000
Neerim South (Town),26.82926829,43.72294372,,,THOMSON (GREATER,282000
Nerrina (Suburb),45.22968198,22.39583333,,,THORNBURY,729000
Newcomb (Catchment),17.47772447,51.29940444,,,THORNHILL PARK,-
Newcomb (Suburb),21.16788321,54.9139367,,,TIMBOON,184000
Newhaven (Town),26.75159236,50.71428571,,,TONGALA,185000
Newington (Suburb),50.55401662,41.83514774,,,TOONGABBIE,234000
Newlands Arm (Town),22.48803828,49.18918919,,,TOORA,171500
Newport (Suburb),56.96030978,26.78300455,,,TOORADIN,420000
Newstead (Town),39.78494624,62.8440367,,,TOORAK,2875000
Newtown (Catchment),47.46835443,33.95522388,,,TOOTGAROOK,387000
Newtown (Suburb),52.88031977,31.73563561,,,TORQUAY,580000
Nhill (Catchment),25.08038585,50.0621118,,,TRAFALGAR,283000
Nhill (Town),30.81761006,52.30769231,,,TRARALGON,269000
Nichols Point (Town),40.28776978,25.74257426,,,TRARALGON EAST,435000
Niddrie (Catchment),51.05740181,35.72593801,,,TRENTHAM,407500
Niddrie (Suburb),46.53148346,32.0582878,,,TRUGANINA,360000
Nilma (Town),18.46153846,43.75,,,TULLAMARINE,395000
Noble Park North (Suburb),33.94318729,46.69527897,,,TYABB,370500
Noble Park (Suburb),38.95672792,53.61563518,,,UPPER FERNTREE GULLY,435000
Noorat (Town),38.59649123,51.11111111,,,UPWEY,425000
Norlane (Catchment),30.93167702,40.25806452,,,VENTNOR,370000
Norlane (Suburb),14.55653351,69.23335575,,,VENUS BAY,242500
North Bendigo (Catchment),30.96179183,41.21621622,,,VERMONT,610000
North Bendigo (Suburb),29.47976879,50.62730627,,,VERMONT SOUTH,722500
North Geelong (Suburb),36.52392947,49.66292135,,,VIEWBANK,630000
North Melbourne (Suburb),75.9805623,38.19845857,,,VIOLET TOWN,215000
North Shore (Suburb),37.31343284,40.55944056,,,WAHGUNYAH,190000
North Warrandyte (Suburb),56.92188708,17.2972973,,,WALLAN,341500
Northcote (Suburb),72.20371669,29.45138379,,,WALLAN EAST,310000
Notting Hill (Suburb),65.98049837,43.98907104,,,WANDANA HEIGHTS,540000
Numurkah (Catchment),20.3030303,50.45454545,,,WANDIN NORTH,407500
Numurkah (Town),22.78360343,59.06183369,,,WANDONG,397500
Nunawading (Suburb),54.55715205,36.00107788,,,WANGARATTA,240000
Nyah (Town),12.90322581,64.86486486,,,WANTIRNA,576000
Nyah West (Town),5.357142857,74.6835443,,,WANTIRNA SOUTH,579000
Nyora (Town),9.913793103,39.10891089,,,WARBURTON,310000
Oak Park (Suburb),48.4929078,34.92307692,,,WARRACKNABEAL,107500
Oakleigh East (Suburb),57.37970077,39.35617861,,,WARRAGUL,315000
Oakleigh South (Suburb),47.6344402,39.67201675,,,WARRANDYTE,640000
Oakleigh (Suburb),58.00893427,35.45950483,,,WARRANWOOD,605500
Ocean Grove - Barwon Heads (Catchment),43.78920954,30.9751434,,,WARRNAMBOOL,325000
Ocean Grove - Barwon Heads (Town),43.99301005,36.45892891,,,WATERWAYS,667000
Officer (Town),33.98058252,20.3271028,,,WATSONIA,505000
Olinda (Suburb),49.50331126,30.43478261,,,WATSONIA NORTH,510000
Omeo (Town),23.59550562,47.87234043,,,WATTLE GLEN,475000
Orbost (Catchment),33.07210031,60.3081438,,,WAURN PONDS,446500
Orbost (Town),20.80152672,67.43341404,,,WEDDERBURN,154000
Ormond (Suburb),66.23058054,29.93123417,,,WEIR VIEWS,327500
Ouyen (Catchment),32.45192308,51.93929174,,,WENDOUREE,243000
Ouyen (Town),23.29749104,52.36842105,,,WENDOUREE WEST,190000
Oxley (Town),30.71895425,42.85714286,,,WERRIBEE,309000
Pakenham (Catchment),24.9465812,34.60526316,,,WERRIBEE SOUTH,538000
Pakenham (Town),23.47758738,38.09569747,,,WESBURN,312500
Panton Hill (Town),42.35294118,25.35211268,,,WEST FOOTSCRAY,553000
Park Orchards (Suburb),52.72614622,18.11440678,,,WEST MELBOURNE,905000
Parkdale (Suburb),48.02021904,31.07518604,,,WEST WODONGA,272500
Parkville (Catchment),71.54811715,27.76978417,,,WESTALL,511500
Parkville (Suburb),80.42824944,26.36887608,,,WESTGARTH,920000
Pascoe Vale South (Suburb),52.05403915,34.11137046,,,WESTMEADOWS,386500
Pascoe Vale (Suburb),49.0060186,38.3992467,,,WHEELERS HILL,740000
Patterson Lakes (Suburb),33.51101635,30.94488189,,,WHITE HILLS,280000
Paynesville (Catchment),29.75391499,50.38167939,,,WHITTINGTON,259000
Paynesville (Town),28.36095764,58.79354291,,,WHITTLESEA,375000
Pearcedale (Suburb),20.5955335,32.13773314,,,WILLIAMS LANDING,470000
Penshurst (Town),18.51851852,59.41176471,,,WILLIAMSTOWN,920000
Peterborough (Town),,35.18518519,,,WILLIAMSTOWN NORTH,768000
Pioneer Bay (Town),16.88311688,59.09090909,,,WILLOW GROVE,235000
Plenty (Suburb),40.54054054,16.38418079,,,WIMBLEDON HEIGHTS,271500
Point Cook (Catchment),23.52941176,48.45360825,,,WINCHELSEA,287000
Point Cook (Suburb),56.8477939,20.25588646,,,WINDSOR,835000
Point Lonsdale - Queenscliff (Catchment),32.5,40,,,WINTER VALLEY,344500
Point Lonsdale - Queenscliff (Town),49.16943522,38.75262789,,,WODONGA,282500
Poowong (Town),17.28395062,50.4950495,,,WOLLERT,400000
Porepunkah (Town),24.09090909,51.96078431,,,WONGA PARK,674500
Port Albert (Town),17.39130435,64.42307692,,,WONTHAGGI,225000
Port Campbell (Town),40.4040404,38.35616438,,,WOODEND,470000
Port Fairy (Catchment),29.29515419,44.87471526,,,WOOLAMAI WATERS,349000
Port Fairy (Town),43.23827047,49.41860465,,,WOORI YALLOCK,330000
Port Melbourne (Suburb),67.21024259,22.39986537,,,WY YUNG,285000
Portarlington (Catchment),30.52434457,50.78740157,,,WYCHEPROOF,95000
Portarlington (Town),29.08117752,58.4627964,,,WYNDHAM VALE,288000
Portland (Catchment),26.86567164,36.1631753,,,YACKANDANDAH,327500
Violet Town (Town),19.82758621,58.51528384,,,YALLAMBIE,532500
Portsea (Suburb),60.0877193,16.42857143,,,YALLOURN NORTH,135000
Prahran (Suburb),69.96355202,24.48542024,,,YARRA GLEN,420000
Preston (Suburb),56.64796509,42.22921531,,,YARRA JUNCTION,406500
Princes Hill (Suburb),78.96551724,25.66489362,,,YARRAGON,258000
Pyalong (Town),18.4,55.72519084,,,YARRAM,190000
Pyramid Hill (Town),18.51851852,75.92592593,,,YARRAVILLE,696000
Quambatook (Town),14.58333333,72.09302326,,,YARRAWONGA,302500
Quarry Hill (Suburb),49.79253112,33.90452876,,,YEA,260000
Rainbow (Catchment),24.7706422,51.42857143,,,YINNAR,220000
Rainbow (Town),28.44827586,71.42857143,,,,
Rawson (Town),17.04545455,70.96774194,,,,
Raymond Island (Town),25.95744681,59.43396226,,,,
Red Cliffs (Catchment),25,48.61580014,,,,
Red Cliffs (Town),17.383821,62.29143493,,,,
Red Hill South (Town),52.30769231,38.1294964,,,,
Redan (Suburb),28.65853659,57.84,,,,
Research (Catchment),54.93741307,24.66063348,,,,
Research (Suburb),46.72048436,21.11111111,,,,
Reservoir (Suburb),44.52487497,48.55224248,,,,
Rhyll (Town),27.23214286,53.69458128,,,,
Richmond (Catchment),75.45454545,19.73684211,,,,
Richmond (Suburb),71.12716526,26.31128238,,,,
Riddells Creek (Catchment),37.04496788,31.17977528,,,,
Riddells Creek (Town),32.25,22.58426966,,,,
Ringwood East (Suburb),44.25244177,34.84096878,,,,
Wonga Park - South (Town),32.65306122,11.29032258,,,,
Ringwood North (Suburb),47.39646403,24.89711934,,,,
Ringwood (Suburb),45.55762659,38.32794143,,,,
Ripponlea (Suburb),64.70588235,27.45424293,,,,
Robinvale (Catchment),25.6097561,46.64179104,,,,
Robinvale (Town),32.51533742,58.31903945,,,,
Rochester (Catchment),22.69129288,48.17073171,,,,
Rochester (Town),23.14674735,52.22457627,,,,
Rockbank (Town),11.95652174,41.05263158,,,,
Romsey (Catchment),40.94339623,24.69135802,,,,
Romsey (Town),24.15458937,35.77235772,,,,
Rosanna (Catchment),48.94514768,25.13368984,,,,
Rosanna (Suburb),58.65860363,31.18161926,,,,
Rosebud (Catchment),42.03036053,33.76068376,,,,
Rosebud (Suburb),19.56466069,58.7391946,,,,
Rosebud West (Catchment),18.29787234,57.55053508,,,,
Rosebud West (Suburb),19.01234568,63.52481874,,,,
Rosedale (Catchment),22.26890756,41.66666667,,,,
Rosedale (Town),8.059701493,58.62944162,,,,
Rowville (Catchment),37.28578045,20.80315997,,,,
Rowville (Suburb),41.8501171,27.76609171,,,,
Roxburgh Park (Suburb),38.0303707,49.07807876,,,,
Rupanyup (Town),22.34042553,64.49275362,,,,
Rushworth (Catchment),26.10169492,56.89655172,,,,
Rushworth (Town),22.89719626,68.88888889,,,,
Rutherglen (Catchment),37.0212766,38.42592593,,,,
Rutherglen (Town),28.71148459,47.48677249,,,,
Rye (Catchment),33.33333333,37.92325056,,,,
Rye (Suburb),26.90284111,52.45843651,,,,
Safety Beach (Suburb),26.56921754,48.85883347,,,,
Sailors Gully (Suburb),26.43171806,44.96124031,,,,
Sale (Catchment),24.26150121,51.2692882,,,,
Sale (Town),30.18070875,46.57351963,,,,
San Remo (Catchment),21.86234818,57.07964602,,,,
San Remo (Town),29.95283019,49.86449864,,,,
Sandhurst (Suburb),43.65443425,12.39669421,,,,
Sandringham (Suburb),62.87773129,23.99081063,,,,
Sandy Point (Town),56.71641791,49.18032787,,,,
Sassafras (Suburb),51.16696589,23.14049587,,,,
Sawmill Settlement (Town),38.31775701,40.84507042,,,,
Scoresby (Suburb),40.51686378,31.27128263,,,,
Sea Lake (Catchment),26.05633803,53.06122449,,,,
Sea Lake (Town),28.76712329,61.84210526,,,,
Seabrook (Catchment),58.38852097,22.18487395,,,,
Seabrook (Suburb),40.77017115,32.82442748,,,,
Seaford (Suburb),30.35395066,42.69775187,,,,
Seaholme (Suburb),41.66666667,34.23019432,,,,
Sebastopol (Catchment),27.00711382,48.35534836,,,,
Sebastopol (Suburb),20.58005562,58.44535359,,,,
Seddon (Catchment),65,21.3836478,,,,
Seddon (Suburb),65.3929657,28.04054054,,,,
Selby (Suburb),39.37592868,27.94117647,,,,
Seville East (Town),17.74891775,35.02538071,,,,
Seymour (Catchment),28.96935933,35.69661995,,,,
Seymour (Town),21.9895288,54.39847836,,,,
Shepparton East (Town),20.75471698,27.11864407,,,,
Shepparton - Mooroopna (Catchment),30.79130791,40.45738046,,,,
Shepparton - Mooroopna (Town),30.11648669,48.10153736,,,,
Sherbrooke (Suburb),60.44776119,27.77777778,,,,
Shoreham (Town),59.09090909,20.16129032,,,,
Skye (Suburb),22.73116438,31.20335821,,,,
Smiths Beach (Town),42.55319149,45.07042254,,,,
Smythesdale (Town),24.82758621,51.51515152,,,,
Snake Valley (Town),18.05555556,51.37614679,,,,
Soldiers Hill (Suburb),53.07497894,40.38277512,,,,
Somers (Suburb),45.2681388,29.46236559,,,,
Somerville (Catchment),24,33.19327731,,,,
Somerville (Suburb),22.67806268,35.38169148,,,,
Sorrento (Catchment),60.0877193,16.42857143,,,,
Sorrento (Suburb),46.49776453,41.37254902,,,,
South Kingsville (Suburb),50.12820513,31.53526971,,,,
South Melbourne (Suburb),72.32939224,29.77602108,,,,
South Morang (Catchment),33.46109621,23.63721805,,,,
South Morang (Suburb),35.0501771,29.40156114,,,,
South Wharf (Suburb),53.65853659,,,,,
South Yarra (Suburb),74.95278352,20.72613609,,,,
Southbank (Suburb),76.52263678,21.04810997,,,,
Spotswood (Suburb),48.11507937,31.96239718,,,,
Spring Gully (Suburb),42.43197279,43.77289377,,,,
Springvale South (Suburb),37.54385965,53.7747154,,,,
Springvale (Suburb),43.26070901,59.89519651,,,,
St Albans (Catchment),35.65683646,38.25301205,,,,
St Albans (Suburb),35.90367307,58.65096787,,,,
St Andrews Beach (Suburb),36.18233618,35.13513514,,,,
St Andrews (Town),31.46067416,34.48275862,,,,
St Arnaud (Catchment),24.05271829,59.91058122,,,,
St Arnaud (Town),19.63302752,62.39419589,,,,
St Helena (Catchment),48.33633094,17.39745403,,,,
St Helena (Suburb),39.70722781,29.87012987,,,,
St Kilda (Catchment),70.60041408,15.81081081,,,,
St Kilda East (Catchment),61.23595506,40.42553191,,,,
St Kilda East (Suburb),66.5564478,25.36976171,,,,
St Kilda (Suburb),66.30434783,22.26245474,,,,
St Kilda West (Suburb),71.85592186,15.72676728,,,,
Stanhope (Town),10,64.70588235,,,,
Stawell (Catchment),27.21088435,41.29411765,,,,
Stawell (Town),21.41909814,54.70725995,,,,
Stratford (Town),18.73840445,47.87234043,,,,
Strathdale (Catchment),38.15090329,30.82706767,,,,
Strathdale (Suburb),41.26006632,37.39878543,,,,
Strathfieldsaye (Suburb),42.3572744,27.39383847,,,,
Strathmerton (Town),21.34831461,47.61904762,,,,
Strathmore Heights (Suburb),36.48293963,28.42809365,,,,
Strathmore (Suburb),53.71046229,27.15535194,,,,
Sunbury (Catchment),25.40453074,36.19469027,,,,
Sunbury (Town),28.06759099,31.84390244,,,,
Sunset Strip (Town),20.45454545,55.75221239,,,,
Sunshine (Catchment),40.63926941,55.24861878,,,,
Sunshine North (Suburb),41.01809003,57.50251762,,,,
Sunshine (Suburb),44.62809917,50.4577078,,,,
Sunshine West (Suburb),37.92141952,54.90566038,,,,
Surf Beach - Sunderland Bay (Town),32.54237288,46,,,,
Surrey Hills (Suburb),69.91944064,21.65048544,,,,
Swan Hill (Catchment),20.22016222,54.41176471,,,,
Swan Hill (Town),27.47368421,50.34742328,,,,
Sydenham (Suburb),39.72326319,33.3917309,,,,
Talbot (Town),22.53521127,66.32653061,,,,
Tallangatta (Catchment),25.63652327,40.8142999,,,,
Tallangatta (Town),20.59701493,56.39534884,,,,
Tallarook (Town),12.12121212,37.14285714,,,,
Tallygaroopna (Town),17.04545455,44.11764706,,,,
Tangambalanga (Town),12.97709924,43.93939394,,,,
Tarneit (Catchment),21.12676056,40.65420561,,,,
Tarneit (Suburb),44.12460568,27.89586423,,,,
Tatura (Catchment),28.20267686,48.85635865,,,,
Tatura (Town),32.16715258,47.05882353,,,,
Tawonga (Town),32.57575758,48.27586207,,,,
Taylors Hill (Catchment),46.74957603,28.73646209,,,,
Taylors Hill (Suburb),41.72642762,29.46486138,,,,
Taylors Lakes (Catchment),38.12080537,31.06312292,,,,
Taylors Lakes (Suburb),39.53978907,31.78976615,,,,
Tecoma (Suburb),40.76212471,32.93768546,,,,
Teesdale (Town),28.27324478,37.79342723,,,,
Templestowe Lower (Suburb),55.77408878,32.55319149,,,,
Templestowe (Suburb),59.31681366,27.70571975,,,,
Terang (Catchment),28.79499218,38.66459627,,,,
Terang (Town),25.30612245,57.20399429,,,,
The Basin (Suburb),29.58003652,29.44317315,,,,
The Patch (Suburb),46.07438017,28.78787879,,,,
Thomastown (Suburb),33.94929093,58.79313219,,,,
Thomson (Suburb),33.13253012,58.58433735,,,,
Thornbury (Suburb),63.99692938,35.05250154,,,,
Timboon (Town),25,45.62737643,,,,
Tongala (Catchment),21.40762463,46.53179191,,,,
Tongala (Town),15.67944251,56.51162791,,,,
Toolamba (Town),32.03883495,22.78481013,,,,
Toongabbie (Town),18.30065359,39.33333333,,,,
Toora (Town),21.81818182,73.33333333,,,,
Tooradin (Town),14.48275862,38.79598662,,,,
Toorak (Catchment),80.02980626,17.41176471,,,,
Toorak (Suburb),73.92080976,18.69547154,,,,
Tootgarook (Suburb),19.20103093,56.53594771,,,,
Torquay - Jan Juc (Catchment),43.63021421,33.27841845,,,,
Torquay - Jan Juc (Town),45.71767095,29.7815534,,,,
Trafalgar (Catchment),28.41015992,45.55433589,,,,
Trafalgar (Town),28.86699507,44.14587332,,,,
Traralgon (Catchment),25.78380908,33.29512894,,,,
Traralgon East (Town),28.38709677,37.3015873,,,,
Traralgon South (Town),34.75935829,22.03389831,,,,
Traralgon (Town),29.23076923,39.46771691,,,,
Travancore (Suburb),71.54811715,27.76978417,,,,
Trentham (Town),40.35714286,49.41634241,,,,
Truganina (Suburb),50.11844332,30.90128755,,,,
Tullamarine (Catchment),43.11073542,24.10313901,,,,
Tullamarine (Suburb),29.67301122,40.3030303,,,,
Tungamah (Town),,73.58490566,,,,
Tyabb (Suburb),22.44525547,35.53191489,,,,
Tyers (Town),25.75757576,27.53623188,,,,
Tylden (Town),23.97260274,44.71544715,,,,
Tynong (Town),20.19230769,44.30379747,,,,
Underbool (Town),33.33333333,45.45454545,,,,
Upper Ferntree Gully (Suburb),31.98090692,30.3030303,,,,
Upwey (Catchment),45.4359673,29.93512512,,,,
Upwey (Suburb),39.42603348,27.99254774,,,,
Ventnor (Town),34.96240602,50.89285714,,,,
Venus Bay (Town),23.1092437,71.95121951,,,,
Vermont South (Suburb),53.98810744,30.68181818,,,,
Vermont (Suburb),50.78325929,31.87311178,,,,
Viewbank (Catchment),43.43936382,27.50316857,,,,
Viewbank (Suburb),54.494184,31.20868744,,,,
Violet Town (Town),19.82758621,58.51528384,,,,
Wahgunyah (Town),19.27710843,45.04792332,,,,
Wallan (Catchment),28.25229961,30.29850746,,,,
Wallan (Town),22.67641997,33.85214008,,,,
Wandana Heights (Suburb),50.28441411,25.45787546,,,,
Wandiligong (Town),31.25,48.62385321,,,,
Wandin North (Catchment),21.5407629,35.38732394,,,,
Wandin North (Suburb),21.93211488,37.5,,,,
Wandong - Heathcote Junction (Catchment),22.90076336,35.68075117,,,,
Wandong - Heathcote Junction (Town),20.72727273,33.33333333,,,,
Wangaratta (Catchment),32.15607131,44.27860697,,,,
Wangaratta (Town),27.70294867,51.09898675,,,,
Wantirna South (Suburb),50.30338053,36.21558744,,,,
Wantirna (Suburb),43.87755102,30.68550255,,,,
Warburton (Catchment),23.21867322,58.19672131,,,,
Warburton (Town),33.69418133,56.05633803,,,,
Warneet (Town),20,38.58695652,,,,
Warracknabeal (Catchment),24.24942263,60.78098472,,,,
Warracknabeal (Town),20.84745763,58.82352941,,,,
Warragul (Catchment),30.64615385,35.5377907,,,,
Warragul (Town),34.09237379,44.3457539,,,,
Warrandyte (Catchment),53.96182765,18.24596774,,,,
Warrandyte South (Suburb),49.46236559,14.81481481,,,,
Warrandyte (Suburb),52.50106883,21.37457045,,,,
Warranwood (Suburb),44.61859979,19.02478018,,,,
Warrnambool (Catchment),27.41935484,35.87553386,,,,
Warrnambool (Town),33.46930237,45.38148626,,,,
Waterford Park (Town),,30.88235294,,,,
Waterways (Suburb),59.6792669,17.16814159,,,,
Watsonia (Catchment),39.43342776,29.04214559,,,,
Watsonia North (Suburb),40.77025232,29.58333333,,,,
Watsonia (Suburb),40.23904382,39.90228013,,,,
Wattle Glen (Suburb),32.43243243,25.23584906,,,,
Waurn Ponds (Suburb),37.35207101,23.5619469,,,,
Wedderburn (Town),22.75862069,75.43859649,,,,
Wendouree (Catchment),37.12768414,34.64751958,,,,
Wendouree (Suburb),25.94285714,60.97374458,,,,
Werribee (Catchment),26.07913669,42.34693878,,,,
Werribee South (Town),25.35211268,44.68085106,,,,
Werribee (Suburb),30.90925079,41.6861631,,,,
West Bendigo (Suburb),17.59259259,39.51612903,,,,
West Footscray (Catchment),52.47524752,37.5,,,,
West Footscray (Suburb),55.09360564,41.1452514,,,,
West Melbourne (Suburb),73.07280514,26.02291326,,,,
Westmeadows (Catchment),31.39130435,29.1913215,,,,
Westmeadows (Suburb),26.25298329,36.55793026,,,,
Wheelers Hill (Suburb),56.47605083,31.18521078,,,,
White Hills (Suburb),26.37867647,45.12957998,,,,
Whittington (Suburb),17.12403952,60.26722925,,,,
Whittlesea (Catchment),26.6175697,33.09196235,,,,
Whittlesea (Town),19.50819672,39.10891089,,,,
Willaura (Town),33.82352941,77.98165138,,,,
Williams Landing (Suburb),58.32196453,21.43600416,,,,
Williamstown (Catchment),45.04950495,38.55218855,,,,
Williamstown North (Suburb),45.04950495,38.55218855,,,,
Williamstown (Suburb),61.19809394,26.69529837,,,,
Willow Grove (Town),37.14285714,47.2972973,,,,
Wimbledon Heights (Town),25.87412587,49.23076923,,,,
Winchelsea (Catchment),34.3387471,39.6656535,,,,
Winchelsea (Town),24.58333333,52.70018622,,,,
Windsor (Suburb),68.03702695,26.37205987,,,,
Wodonga (Catchment),34.52461227,32.94573643,,,,
Wodonga (Town),24.86742424,43.19602795,,,,
Wonga Park - South (Town),32.65306122,11.29032258,,,,
Wonga Park (Suburb),41.41791045,13.66906475,,,,
Wonthaggi (Catchment),30.76923077,39.52830189,,,,
Wonthaggi (Town),21.09181141,58.56332703,,,,
Woodend (Catchment),47.43202417,23.62637363,,,,
Woodend (Town),47.49240122,40.12738854,,,,
Woolsthorpe (Town),17.24137931,44,,,,
Woomelang (Town),23.21428571,67.08860759,,,,
Woori Yallock - Launching Place (Catchment),22.38209432,34.70648816,,,,
Woori Yallock - Launching Place (Town),15.93655589,45.2681388,,,,
Woorinen South (Town),8.695652174,64.70588235,,,,
Wunghnu (Town),13.63636364,58.75,,,,
Wurruk (Town),24.41860465,44,,,,
Wycheproof (Town),25.78125,74.46808511,,,,
Wyndham Vale (Catchment),37.28813559,12,,,,
Wyndham Vale (Suburb),30.80703081,33.80254531,,,,
Yackandandah (Town),44.69135802,41.27516779,,,,
Yallambie (Suburb),42.15134459,26.38408304,,,,
Violet Town (Town),19.82758621,58.51528384,,,,
Yarra Glen (Catchment),35.09852217,34.3537415,,,,
Yarra Glen (Town),27.61394102,37.73006135,,,,
Yarra Junction - Wesburn (Catchment),25.76142132,48.29329962,,,,
Yarra Junction - Wesburn (Town),21.40468227,50.17921147,,,,
Yarragon (Town),24.34782609,51.43678161,,,,
Yarram (Catchment),20.62222222,53.69799692,,,,
Yarram (Town),24.64358452,63.71681416,,,,
Yarrambat (Suburb),29.56521739,19.64285714,,,,
Yarraville (Catchment),54.84619849,32.28643216,,,,
Yarraville (Suburb),59.64425587,29.20913168,,,,
Yarrawonga (Catchment),25.26158445,51.45348837,,,,
Yarrawonga (Town),23.4375,53.56988317,,,,
Yea (Catchment),32.61146497,50.26737968,,,,
Yea (Town),28.65853659,58.53080569,,,,
Yinnar (Town),28.42639594,44.84536082,,,,
